standEta_V_abscissa,standEta_V_cdf,standEta_Cl_abscissa,standEta_Cl_cdf,split
-4.26872,0.000999001,-4.67426,0.000999001,All
-2.91642,0.001998,-3.7348,0.001998,All
-2.82959,0.002997,-2.72179,0.002997,All
-2.81697,0.003996,-2.62244,0.003996,All
-2.40706,0.004995,-2.56978,0.004995,All
-2.3243,0.00599401,-2.43444,0.00599401,All
-2.31089,0.00699301,-2.41642,0.00699301,All
-2.25256,0.00799201,-2.39714,0.00799201,All
-2.23126,0.00899101,-2.38155,0.00899101,All
-1.98097,0.00999001,-2.36939,0.00999001,All
-1.86973,0.010989,-2.0741,0.010989,All
-1.86942,0.011988,-2.00384,0.011988,All
-1.83778,0.012987,-1.99857,0.012987,All
-1.83604,0.013986,-1.97053,0.013986,All
-1.79868,0.014985,-1.94193,0.014985,All
-1.77891,0.015984,-1.91597,0.015984,All
-1.76739,0.016983,-1.76502,0.016983,All
-1.75267,0.017982,-1.72481,0.017982,All
-1.72175,0.018981,-1.70503,0.018981,All
-1.71915,0.01998,-1.67502,0.01998,All
-1.62369,0.020979,-1.65367,0.020979,All
-1.61303,0.021978,-1.6488,0.021978,All
-1.58811,0.022977,-1.62275,0.022977,All
-1.58307,0.023976,-1.60796,0.023976,All
-1.56356,0.024975,-1.57272,0.024975,All
-1.52074,0.025974,-1.55548,0.025974,All
-1.52039,0.026973,-1.53295,0.026973,All
-1.5091,0.027972,-1.52932,0.027972,All
-1.48563,0.028971,-1.48707,0.028971,All
-1.4525,0.02997,-1.48646,0.02997,All
-1.44438,0.030969,-1.47655,0.030969,All
-1.43398,0.031968,-1.4517,0.031968,All
-1.40803,0.032967,-1.4099,0.032967,All
-1.40474,0.033966,-1.361,0.033966,All
-1.38959,0.034965,-1.35647,0.034965,All
-1.35611,0.035964,-1.32177,0.035964,All
-1.34917,0.036963,-1.29475,0.036963,All
-1.33654,0.037962,-1.28488,0.037962,All
-1.33245,0.038961,-1.26562,0.038961,All
-1.31845,0.03996,-1.26238,0.03996,All
-1.31045,0.040959,-1.25808,0.040959,All
-1.30611,0.041958,-1.25338,0.041958,All
-1.30219,0.042957,-1.2501,0.042957,All
-1.30175,0.043956,-1.23234,0.043956,All
-1.30089,0.044955,-1.22354,0.044955,All
-1.28017,0.045954,-1.21736,0.045954,All
-1.27542,0.046953,-1.2132,0.046953,All
-1.26119,0.047952,-1.20255,0.047952,All
-1.25767,0.048951,-1.1961,0.048951,All
-1.24062,0.04995,-1.19274,0.04995,All
-1.23411,0.0509491,-1.18549,0.0509491,All
-1.21772,0.0519481,-1.17109,0.0519481,All
-1.21536,0.0529471,-1.13986,0.0529471,All
-1.19147,0.0539461,-1.13246,0.0539461,All
-1.16799,0.0549451,-1.12916,0.0549451,All
-1.16518,0.0559441,-1.12796,0.0559441,All
-1.15554,0.0569431,-1.12017,0.0569431,All
-1.15316,0.0579421,-1.1179,0.0579421,All
-1.13846,0.0589411,-1.11694,0.0589411,All
-1.13535,0.0599401,-1.10173,0.0599401,All
-1.12264,0.0609391,-1.09776,0.0609391,All
-1.11163,0.0619381,-1.09174,0.0619381,All
-1.10688,0.0629371,-1.07807,0.0629371,All
-1.1028,0.0639361,-1.05365,0.0639361,All
-1.09466,0.0649351,-1.05012,0.0649351,All
-1.09422,0.0659341,-1.04729,0.0659341,All
-1.09317,0.0669331,-1.04595,0.0669331,All
-1.0892,0.0679321,-1.04177,0.0679321,All
-1.08738,0.0689311,-1.0353,0.0689311,All
-1.08618,0.0699301,-1.01799,0.0699301,All
-1.08455,0.0709291,-1.01388,0.0709291,All
-1.07436,0.0719281,-1.00126,0.0719281,All
-1.0692,0.0729271,-0.997205,0.0729271,All
-1.06837,0.0739261,-0.993384,0.0739261,All
-1.05888,0.0749251,-0.987541,0.0749251,All
-1.05765,0.0759241,-0.98372,0.0759241,All
-1.03536,0.0769231,-0.980821,0.0769231,All
-1.01668,0.0779221,-0.975058,0.0779221,All
-1.00887,0.0789211,-0.972024,0.0789211,All
-1.00798,0.0799201,-0.970957,0.0799201,All
-0.991452,0.0809191,-0.965791,0.0809191,All
-0.990545,0.0819181,-0.965262,0.0819181,All
-0.986647,0.0829171,-0.95643,0.0829171,All
-0.98543,0.0839161,-0.953645,0.0839161,All
-0.968809,0.0849151,-0.948708,0.0849151,All
-0.96791,0.0859141,-0.948182,0.0859141,All
-0.966709,0.0869131,-0.929082,0.0869131,All
-0.961278,0.0879121,-0.928569,0.0879121,All
-0.949487,0.0889111,-0.926253,0.0889111,All
-0.947432,0.0899101,-0.924692,0.0899101,All
-0.946261,0.0909091,-0.914723,0.0909091,All
-0.9455,0.0919081,-0.902999,0.0919081,All
-0.928227,0.0929071,-0.896979,0.0929071,All
-0.924796,0.0939061,-0.89443,0.0939061,All
-0.91498,0.0949051,-0.881599,0.0949051,All
-0.913534,0.0959041,-0.880554,0.0959041,All
-0.908479,0.0969031,-0.877168,0.0969031,All
-0.906725,0.0979021,-0.876019,0.0979021,All
-0.904797,0.0989011,-0.873551,0.0989011,All
-0.903868,0.0999001,-0.869569,0.0999001,All
-0.899906,0.100899,-0.867011,0.100899,All
-0.899485,0.101898,-0.863684,0.101898,All
-0.896591,0.102897,-0.857342,0.102897,All
-0.891379,0.103896,-0.846114,0.103896,All
-0.890872,0.104895,-0.843947,0.104895,All
-0.889253,0.105894,-0.840074,0.105894,All
-0.884437,0.106893,-0.834094,0.106893,All
-0.881128,0.107892,-0.832236,0.107892,All
-0.870513,0.108891,-0.830552,0.108891,All
-0.86821,0.10989,-0.820449,0.10989,All
-0.860902,0.110889,-0.81962,0.110889,All
-0.851506,0.111888,-0.81933,0.111888,All
-0.846285,0.112887,-0.81211,0.112887,All
-0.845642,0.113886,-0.7971,0.113886,All
-0.841312,0.114885,-0.796179,0.114885,All
-0.840667,0.115884,-0.781576,0.115884,All
-0.82009,0.116883,-0.773846,0.116883,All
-0.819865,0.117882,-0.771105,0.117882,All
-0.817623,0.118881,-0.770295,0.118881,All
-0.812317,0.11988,-0.761435,0.11988,All
-0.807083,0.120879,-0.758228,0.120879,All
-0.794352,0.121878,-0.740433,0.121878,All
-0.793041,0.122877,-0.734886,0.122877,All
-0.787573,0.123876,-0.733951,0.123876,All
-0.781641,0.124875,-0.723361,0.124875,All
-0.767831,0.125874,-0.720612,0.125874,All
-0.766224,0.126873,-0.718052,0.126873,All
-0.752455,0.127872,-0.71013,0.127872,All
-0.750204,0.128871,-0.697658,0.128871,All
-0.747613,0.12987,-0.696627,0.12987,All
-0.747132,0.130869,-0.695732,0.130869,All
-0.747012,0.131868,-0.687795,0.131868,All
-0.746853,0.132867,-0.686359,0.132867,All
-0.745836,0.133866,-0.684666,0.133866,All
-0.744523,0.134865,-0.684555,0.134865,All
-0.736803,0.135864,-0.683508,0.135864,All
-0.734875,0.136863,-0.676936,0.136863,All
-0.728719,0.137862,-0.67667,0.137862,All
-0.727229,0.138861,-0.664233,0.138861,All
-0.726976,0.13986,-0.664078,0.13986,All
-0.725484,0.140859,-0.663049,0.140859,All
-0.72424,0.141858,-0.657268,0.141858,All
-0.718392,0.142857,-0.656192,0.142857,All
-0.715967,0.143856,-0.640542,0.143856,All
-0.711769,0.144855,-0.63932,0.144855,All
-0.706067,0.145854,-0.636672,0.145854,All
-0.705677,0.146853,-0.636381,0.146853,All
-0.702876,0.147852,-0.635029,0.147852,All
-0.702048,0.148851,-0.632174,0.148851,All
-0.695912,0.14985,-0.620588,0.14985,All
-0.687208,0.150849,-0.619114,0.150849,All
-0.677984,0.151848,-0.61676,0.151848,All
-0.677279,0.152847,-0.616716,0.152847,All
-0.671919,0.153846,-0.614122,0.153846,All
-0.67119,0.154845,-0.613007,0.154845,All
-0.669449,0.155844,-0.612557,0.155844,All
-0.668918,0.156843,-0.608148,0.156843,All
-0.666655,0.157842,-0.602152,0.157842,All
-0.665857,0.158841,-0.599592,0.158841,All
-0.663007,0.15984,-0.597144,0.15984,All
-0.657423,0.160839,-0.596204,0.160839,All
-0.657039,0.161838,-0.595887,0.161838,All
-0.654036,0.162837,-0.593528,0.162837,All
-0.650575,0.163836,-0.592389,0.163836,All
-0.649918,0.164835,-0.590307,0.164835,All
-0.644264,0.165834,-0.589272,0.165834,All
-0.641603,0.166833,-0.585905,0.166833,All
-0.637532,0.167832,-0.583308,0.167832,All
-0.633711,0.168831,-0.581557,0.168831,All
-0.627833,0.16983,-0.578564,0.16983,All
-0.611657,0.170829,-0.577909,0.170829,All
-0.61105,0.171828,-0.572918,0.171828,All
-0.610327,0.172827,-0.572704,0.172827,All
-0.599262,0.173826,-0.569181,0.173826,All
-0.595955,0.174825,-0.562773,0.174825,All
-0.583118,0.175824,-0.562197,0.175824,All
-0.582827,0.176823,-0.558629,0.176823,All
-0.578353,0.177822,-0.552167,0.177822,All
-0.577145,0.178821,-0.544643,0.178821,All
-0.573986,0.17982,-0.538813,0.17982,All
-0.573959,0.180819,-0.535372,0.180819,All
-0.570759,0.181818,-0.526478,0.181818,All
-0.565011,0.182817,-0.512822,0.182817,All
-0.564179,0.183816,-0.511656,0.183816,All
-0.558119,0.184815,-0.504181,0.184815,All
-0.557976,0.185814,-0.487877,0.185814,All
-0.556905,0.186813,-0.487194,0.186813,All
-0.554904,0.187812,-0.482633,0.187812,All
-0.541753,0.188811,-0.482396,0.188811,All
-0.541044,0.18981,-0.478471,0.18981,All
-0.53901,0.190809,-0.474659,0.190809,All
-0.538318,0.191808,-0.472367,0.191808,All
-0.537458,0.192807,-0.470817,0.192807,All
-0.535073,0.193806,-0.469068,0.193806,All
-0.529725,0.194805,-0.467941,0.194805,All
-0.52874,0.195804,-0.466494,0.195804,All
-0.527498,0.196803,-0.466487,0.196803,All
-0.521376,0.197802,-0.464121,0.197802,All
-0.517344,0.198801,-0.458331,0.198801,All
-0.516311,0.1998,-0.454711,0.1998,All
-0.511948,0.200799,-0.451455,0.200799,All
-0.508977,0.201798,-0.44794,0.201798,All
-0.506627,0.202797,-0.441797,0.202797,All
-0.501491,0.203796,-0.438409,0.203796,All
-0.499836,0.204795,-0.431426,0.204795,All
-0.495773,0.205794,-0.427886,0.205794,All
-0.491719,0.206793,-0.426832,0.206793,All
-0.488532,0.207792,-0.417541,0.207792,All
-0.485612,0.208791,-0.416392,0.208791,All
-0.482719,0.20979,-0.415089,0.20979,All
-0.476924,0.210789,-0.41424,0.210789,All
-0.47511,0.211788,-0.41353,0.211788,All
-0.472714,0.212787,-0.411504,0.212787,All
-0.472172,0.213786,-0.41128,0.213786,All
-0.466936,0.214785,-0.408133,0.214785,All
-0.466438,0.215784,-0.406236,0.215784,All
-0.465817,0.216783,-0.40503,0.216783,All
-0.46405,0.217782,-0.402846,0.217782,All
-0.463357,0.218781,-0.399071,0.218781,All
-0.456603,0.21978,-0.3965,0.21978,All
-0.448872,0.220779,-0.396459,0.220779,All
-0.444366,0.221778,-0.396394,0.221778,All
-0.441812,0.222777,-0.394629,0.222777,All
-0.439523,0.223776,-0.393285,0.223776,All
-0.437519,0.224775,-0.39241,0.224775,All
-0.436284,0.225774,-0.390252,0.225774,All
-0.435675,0.226773,-0.389739,0.226773,All
-0.434794,0.227772,-0.387656,0.227772,All
-0.432585,0.228771,-0.386633,0.228771,All
-0.424724,0.22977,-0.384728,0.22977,All
-0.422351,0.230769,-0.382476,0.230769,All
-0.418375,0.231768,-0.380199,0.231768,All
-0.416584,0.232767,-0.378978,0.232767,All
-0.410848,0.233766,-0.376375,0.233766,All
-0.410701,0.234765,-0.374384,0.234765,All
-0.41027,0.235764,-0.371333,0.235764,All
-0.408517,0.236763,-0.368033,0.236763,All
-0.403781,0.237762,-0.361044,0.237762,All
-0.400606,0.238761,-0.358375,0.238761,All
-0.399217,0.23976,-0.349655,0.23976,All
-0.394806,0.240759,-0.338122,0.240759,All
-0.394594,0.241758,-0.33658,0.241758,All
-0.392536,0.242757,-0.333475,0.242757,All
-0.389983,0.243756,-0.332655,0.243756,All
-0.389477,0.244755,-0.331142,0.244755,All
-0.386805,0.245754,-0.33027,0.245754,All
-0.385799,0.246753,-0.330045,0.246753,All
-0.383307,0.247752,-0.329278,0.247752,All
-0.381867,0.248751,-0.327616,0.248751,All
-0.381484,0.24975,-0.325603,0.24975,All
-0.380325,0.250749,-0.325538,0.250749,All
-0.379117,0.251748,-0.325405,0.251748,All
-0.378822,0.252747,-0.323523,0.252747,All
-0.374854,0.253746,-0.31582,0.253746,All
-0.373189,0.254745,-0.314944,0.254745,All
-0.368673,0.255744,-0.313826,0.255744,All
-0.367056,0.256743,-0.313154,0.256743,All
-0.366247,0.257742,-0.311705,0.257742,All
-0.366097,0.258741,-0.310639,0.258741,All
-0.3633,0.25974,-0.307171,0.25974,All
-0.35925,0.260739,-0.306953,0.260739,All
-0.352801,0.261738,-0.303883,0.261738,All
-0.349179,0.262737,-0.302967,0.262737,All
-0.347168,0.263736,-0.30164,0.263736,All
-0.34676,0.264735,-0.298666,0.264735,All
-0.344244,0.265734,-0.293297,0.265734,All
-0.341567,0.266733,-0.291691,0.266733,All
-0.339223,0.267732,-0.290689,0.267732,All
-0.337454,0.268731,-0.288027,0.268731,All
-0.333286,0.26973,-0.287347,0.26973,All
-0.331585,0.270729,-0.28636,0.270729,All
-0.331418,0.271728,-0.283467,0.271728,All
-0.327349,0.272727,-0.280913,0.272727,All
-0.323675,0.273726,-0.279717,0.273726,All
-0.322925,0.274725,-0.277338,0.274725,All
-0.322605,0.275724,-0.275592,0.275724,All
-0.322149,0.276723,-0.274566,0.276723,All
-0.317731,0.277722,-0.269955,0.277722,All
-0.317242,0.278721,-0.264877,0.278721,All
-0.316447,0.27972,-0.264009,0.27972,All
-0.315719,0.280719,-0.261032,0.280719,All
-0.315493,0.281718,-0.259173,0.281718,All
-0.310886,0.282717,-0.256219,0.282717,All
-0.310733,0.283716,-0.254112,0.283716,All
-0.309709,0.284715,-0.248999,0.284715,All
-0.309515,0.285714,-0.248431,0.285714,All
-0.305864,0.286713,-0.244914,0.286713,All
-0.304613,0.287712,-0.24433,0.287712,All
-0.302515,0.288711,-0.238901,0.288711,All
-0.301926,0.28971,-0.23639,0.28971,All
-0.295965,0.290709,-0.234306,0.290709,All
-0.295652,0.291708,-0.234159,0.291708,All
-0.293949,0.292707,-0.23172,0.292707,All
-0.293263,0.293706,-0.230231,0.293706,All
-0.292292,0.294705,-0.222114,0.294705,All
-0.289706,0.295704,-0.219974,0.295704,All
-0.289319,0.296703,-0.219046,0.296703,All
-0.284296,0.297702,-0.215516,0.297702,All
-0.283088,0.298701,-0.212224,0.298701,All
-0.282404,0.2997,-0.211334,0.2997,All
-0.281298,0.300699,-0.21046,0.300699,All
-0.281085,0.301698,-0.208014,0.301698,All
-0.281071,0.302697,-0.203326,0.302697,All
-0.28016,0.303696,-0.201779,0.303696,All
-0.278717,0.304695,-0.200596,0.304695,All
-0.27818,0.305694,-0.200063,0.305694,All
-0.273841,0.306693,-0.199967,0.306693,All
-0.268098,0.307692,-0.195426,0.307692,All
-0.266608,0.308691,-0.195385,0.308691,All
-0.265605,0.30969,-0.19343,0.30969,All
-0.263886,0.310689,-0.192796,0.310689,All
-0.261372,0.311688,-0.191849,0.311688,All
-0.259976,0.312687,-0.190479,0.312687,All
-0.258489,0.313686,-0.190225,0.313686,All
-0.25528,0.314685,-0.18801,0.314685,All
-0.254939,0.315684,-0.182967,0.315684,All
-0.253598,0.316683,-0.179486,0.316683,All
-0.252404,0.317682,-0.175645,0.317682,All
-0.251372,0.318681,-0.175338,0.318681,All
-0.25074,0.31968,-0.174921,0.31968,All
-0.250681,0.320679,-0.174036,0.320679,All
-0.248648,0.321678,-0.169698,0.321678,All
-0.248613,0.322677,-0.168357,0.322677,All
-0.24699,0.323676,-0.168196,0.323676,All
-0.245575,0.324675,-0.1671,0.324675,All
-0.244536,0.325674,-0.1636,0.325674,All
-0.242142,0.326673,-0.160439,0.326673,All
-0.241455,0.327672,-0.159944,0.327672,All
-0.240954,0.328671,-0.159773,0.328671,All
-0.239756,0.32967,-0.156733,0.32967,All
-0.23021,0.330669,-0.154233,0.330669,All
-0.229821,0.331668,-0.152855,0.331668,All
-0.229637,0.332667,-0.150781,0.332667,All
-0.226484,0.333666,-0.148023,0.333666,All
-0.225746,0.334665,-0.135407,0.334665,All
-0.222019,0.335664,-0.134693,0.335664,All
-0.221982,0.336663,-0.1346,0.336663,All
-0.21621,0.337662,-0.13449,0.337662,All
-0.215712,0.338661,-0.132775,0.338661,All
-0.213803,0.33966,-0.130858,0.33966,All
-0.21287,0.340659,-0.129203,0.340659,All
-0.212771,0.341658,-0.128242,0.341658,All
-0.212756,0.342657,-0.127488,0.342657,All
-0.212184,0.343656,-0.126187,0.343656,All
-0.210779,0.344655,-0.12557,0.344655,All
-0.209206,0.345654,-0.123277,0.345654,All
-0.208622,0.346653,-0.122523,0.346653,All
-0.208348,0.347652,-0.119281,0.347652,All
-0.205693,0.348651,-0.118668,0.348651,All
-0.205625,0.34965,-0.116917,0.34965,All
-0.204452,0.350649,-0.11578,0.350649,All
-0.204296,0.351648,-0.115264,0.351648,All
-0.202668,0.352647,-0.11295,0.352647,All
-0.201021,0.353646,-0.111353,0.353646,All
-0.19972,0.354645,-0.109575,0.354645,All
-0.199567,0.355644,-0.107883,0.355644,All
-0.198617,0.356643,-0.10583,0.356643,All
-0.198234,0.357642,-0.104366,0.357642,All
-0.197567,0.358641,-0.103877,0.358641,All
-0.194374,0.35964,-0.102113,0.35964,All
-0.192516,0.360639,-0.101303,0.360639,All
-0.192116,0.361638,-0.0986822,0.361638,All
-0.19019,0.362637,-0.0980751,0.362637,All
-0.188337,0.363636,-0.0970528,0.363636,All
-0.187733,0.364635,-0.0923441,0.364635,All
-0.187466,0.365634,-0.0917217,0.365634,All
-0.187378,0.366633,-0.0897889,0.366633,All
-0.186128,0.367632,-0.087829,0.367632,All
-0.185076,0.368631,-0.0783568,0.368631,All
-0.181526,0.36963,-0.0782562,0.36963,All
-0.181261,0.370629,-0.077491,0.370629,All
-0.179911,0.371628,-0.0763232,0.371628,All
-0.179476,0.372627,-0.0716253,0.372627,All
-0.178042,0.373626,-0.0710667,0.373626,All
-0.176773,0.374625,-0.0668097,0.374625,All
-0.176388,0.375624,-0.0663101,0.375624,All
-0.173782,0.376623,-0.0658906,0.376623,All
-0.173269,0.377622,-0.0639659,0.377622,All
-0.171112,0.378621,-0.0637936,0.378621,All
-0.170329,0.37962,-0.0629781,0.37962,All
-0.170028,0.380619,-0.0608156,0.380619,All
-0.169811,0.381618,-0.0569384,0.381618,All
-0.169772,0.382617,-0.0568493,0.382617,All
-0.167289,0.383616,-0.0551013,0.383616,All
-0.167187,0.384615,-0.0540057,0.384615,All
-0.166752,0.385614,-0.0539411,0.385614,All
-0.165902,0.386613,-0.0519462,0.386613,All
-0.165833,0.387612,-0.050752,0.387612,All
-0.16514,0.388611,-0.0505525,0.388611,All
-0.163896,0.38961,-0.049803,0.38961,All
-0.163895,0.390609,-0.0473837,0.390609,All
-0.162366,0.391608,-0.0460897,0.391608,All
-0.159817,0.392607,-0.0425345,0.392607,All
-0.158905,0.393606,-0.039603,0.393606,All
-0.158445,0.394605,-0.0349439,0.394605,All
-0.158207,0.395604,-0.0327438,0.395604,All
-0.157916,0.396603,-0.0302955,0.396603,All
-0.157898,0.397602,-0.0295164,0.397602,All
-0.157224,0.398601,-0.0258657,0.398601,All
-0.149828,0.3996,-0.0228192,0.3996,All
-0.149191,0.400599,-0.0217514,0.400599,All
-0.14852,0.401598,-0.0206034,0.401598,All
-0.148297,0.402597,-0.0201725,0.402597,All
-0.145875,0.403596,-0.0182769,0.403596,All
-0.142885,0.404595,-0.0171419,0.404595,All
-0.142499,0.405594,-0.0166855,0.405594,All
-0.13868,0.406593,-0.0152222,0.406593,All
-0.137468,0.407592,-0.0144855,0.407592,All
-0.136994,0.408591,-0.0126378,0.408591,All
-0.136698,0.40959,-0.0111681,0.40959,All
-0.135592,0.410589,-0.00604008,0.410589,All
-0.133714,0.411588,-0.00589519,0.411588,All
-0.133675,0.412587,-0.00492403,0.412587,All
-0.133305,0.413586,0.000475397,0.413586,All
-0.131628,0.414585,0.000591336,0.414585,All
-0.130414,0.415584,0.000977122,0.415584,All
-0.130075,0.416583,0.00193286,0.416583,All
-0.129808,0.417582,0.00326634,0.417582,All
-0.129785,0.418581,0.00409918,0.418581,All
-0.129356,0.41958,0.00471185,0.41958,All
-0.128023,0.420579,0.00502069,0.420579,All
-0.124122,0.421578,0.0071858,0.421578,All
-0.121916,0.422577,0.00895922,0.422577,All
-0.121225,0.423576,0.0104218,0.423576,All
-0.120195,0.424575,0.0122718,0.424575,All
-0.120175,0.425574,0.0154374,0.425574,All
-0.119681,0.426573,0.0156613,0.426573,All
-0.117459,0.427572,0.0159576,0.427572,All
-0.115456,0.428571,0.0187047,0.428571,All
-0.113625,0.42957,0.019943,0.42957,All
-0.112882,0.430569,0.0203677,0.430569,All
-0.112857,0.431568,0.0215647,0.431568,All
-0.112033,0.432567,0.0240187,0.432567,All
